1809305	61133
1809523	97755
1810153	23400
1810308	6900
1811390	14208
1811409	144500
1811415	106200
1811416	77400
1811428	268940
1811437	141420
1811438	174560
1811443	106708
1811453	18624
1811458	133110
1812013	194480
1812031	5100
1812048	24830
1812058	23625
1812068	56700
1812070	4294
1812137	208620
1812143	307880
1812149	107880
1812202	254338
1812240	58850
1812251	97160
1812257	10200
1812258	62208
1812259	53308
1812260	32320
1812277	53648
1812328	754710
1812331	12045
1812273	32200
1812116	40040
1812124	549000
1812012	204768
1811461	127728
1812213	196140
1811219	82600
1812125	578000
1812015	115770
1812091	105820
1812201	9794
1811288	19268
1811440	171870
1811484	80325
1812016	22854
1812018	23258
1812038	103125
1812115	50400
1812127	251085
1809406	142800
1812159	52638
1812147	62124
1811289	10720
1812204	91650
1811291	5439
1812146	28749
1810262	233480
1811460	295632
1812129	47600
1811113	135090
1812132	51408
1812272	65100
1812150	120528
1811431	310582
1812174	26810
1812176	25370
1812287	10336
1812309	10065
1811174	113238
1810324	17160
1812306	10065
1811486	13200
1812203	302253
1812055	198930
1812047	100200
1812188	30000
1811466	45240
1811111	150138
1811110	52668
1811282	216978
1812085	54207
1811126	2558000
1812243	24428
1811456	98494
1810310	75000
1811410	106364
1811056	105400
1809317	57364
1812138	195300
1812185	50026
1812184	52668
1812335	50310
1812395	51750
1812089	301226
1811454	159456
1811407	104380
1809365	5610
1811462	351022
1811161	172530
1812179	50982
1811127	22680
1811112	52326
1812074	64322
1812324	163550
1811455	141659
1811408	114230
1812075	61540
1812087	508368
1812158	59892
1811426	597838
1812164	36270
1812165	65472
1812017	22610
1812059	70875
1812036	53615
1812076	67116
1812057	114345
1812293	61008
1812155	72912
1812216	358360
1812093	256500
1812383	30654
1901005	54435
1812083	75240
1812084	54036
1811463	124560
1811012	497475
1812166	30132
1810188	75180
1812226	61976
1812294	128898
1810187	47090
1812323	159630
1812152	110112
1812144	263970
1812035	101232
1811475	99165
1812250	100155
1812086	45999
1811290	23037
1901059	72594
1812278	81294
1901023	33430
1901024	34045
1809403	102406
1901021	34846
1811053	165750
1811347	97958
1812205	200414
1809404	48080
1811457	101640
1811411	310049
1809407	96413
1812248	28224
1808475	16170
1812249	36864
1811035	145530
1811435	78375
1811423	32340
1812126	251720
1811422	38775
1901033	1696200
1901022	23940
1811345	17447
1812088	512890
1812228	32505
1812153	90768
1812173	62135
1812095	21448
1811332	245700
1810203	22220
1801170	5500
1811286	81579
1812101	19916
1901102	517902
1809318	33420
1812276	30324
1812298	55947
1812214	49280
1901034	201600
1811283	156948
1812039	198495
1811267	14976
1812305	19635
1811268	80145
1812274	22110
1811013	389730
1812301	21700
1811434	199320
1810325	2072
1812319	27900
1812363	19850
1812154	65472
1812156	43152
1812275	30298
1901099	31047
1812207	32330
1802030	70875
1811293	13167
1812300	76860
1812217	307530
1812364	20130
1812160	44642
1812096	19916
1812354	222530
1812264	33165
1812148	15691
1812291	56202
1812362	22275
1812280	80730
1812098	20692
1710020	23625
1809209	195195
1812302	51408
1901121	37125
1812347	403056
1812140	176220
1901185	76303
1901049	721484
1812104	63840
1809063	15096
1812299	79204
1812381	67080
1901077	95760
1811287	44069
1812261	43230
1812100	21448
1812094	20316
1812099	18384
1812097	20716
1901031	460446
1811340	263900
1812105	54460
1812109	146080
1812049	69080
1811379	82895
1812139	96120
1901027	92856
1901167	47538
1812290	50264
1901006	102990
1812289	54190
1901045	52790
1812120	30144
1812112	64900
1812348	652032
1901048	253400
1811125	591850
1901050	50702
1812352	100470
1812367	121550
1812392	93430
1812110	90640
1812111	102740
1811284	31100
1812388	50524
1901100	63450
1812341	10164
1812385	48348
1812342	9984
1812119	30144
1811285	22551
1812313	30100
1812194	50512
1901101	100710
1812295	31456
1812297	30720
1812351	114408
1901004	77325
1812189	25920
1901138	35614
1901139	36228
1812346	115700
1812121	8640
1812344	11125
1901044	41740
1901025	62521
1812215	104100
1901218	157740
1811464	163054
1812345	10065
1901026	61740
1812114	41733
1812113	26400
1812133	56644
1812296	30698
1901122	48345
1812340	51028
1812311	29750
1812386	11628
1812191	24672
1812195	26112
1812209	15320
1901032	176890
1812304	49504
1812130	56406
1812303	36890
1901111	45795
1901115	39775
1901118	48590
1901110	51600
1811429	395136
1901189	50904
1901051	50298
1901036	25185
1901002	202300
1812390	517200
1901285	100800
1901114	37195
1901116	101050
1811342	99960
1901003	50260
1812332	46060
1901174	32715
1901186	155925
1812281	82800
1901053	94000
1812350	90864
1812394	109718
1812011	156230
1812193	51382
1812315	36000
1812190	24634
1812192	25920
1811338	82560
1901113	78690
1901183	9600
1901058	25500
1812317	30000
1812282	10530
1809405	50120
